id,sentence1,sentence2,label
37222,"Manuela Maleeva defeated Hana Mandlíková by 6 -- 4 , 6 -- 2 .","Manuela Maleeva defeated Hana Mandlíková by 6 -- 4 , 6 - 2 .",1
46407,"The battery was originally recruited by Henry Hopkins and John F. Aduddell in late 1861 , but was ultimately organized as Company B , 2nd Kansas Cavalry .","The battery was originally recruited by Henry Hopkins and John F. Aduddell in late 1861 , but was finally organized as a company B , 2nd Kansas Cavalry .",1
11166,Gurgaon is located from Gurgaon in Delhi and Sultanpur on the Dhaula Kuan - Farrukhnagar Road .,Gurgaon is located from Gurgaon in Delhi and from Sultanpur on the Dhaula Kuan -- Farrukhnagar Road .,1
46687,"Opened on April 8 , 1994 , it was the second bridge across the lower Mekong , and the first on the full course of the Mekong .","It was opened on April 8 , 1994 and was the second bridge over the lower Mekong , and the first on the full course of the Mekong .",1
51,Ashley was born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .,"Born on November 1 , 1986 , Ashley is a contemporary dancer from Los Angeles who was originally raised in Arizona .",1
26806,"On 7 September 2011 , the Blue House officially scrapped plans for a foundational tax deduction , marking the rich end of Mbnomics .","On September 7 , 2011 , the Blue House officially scrapped plans for a basic tax deduction , marking the rich end of Mbnomics .",1
39137,"Games that feature are either regularly used , occasionally used , or were retired after a while .","Games that use this feature are either regularly used , occasionally used , or retired after a while .",1
46340,The brooch is a hammered disc made of large sheet silver inlaid with black niello and with a diameter of .,The brooch is a hammered disc made of large silver sheet with black Niello and has a diameter of .,1
47234,The river Valea Arsurii is a tributary of the Valea Mica river in Romania .,The Valea Arsurii River is a tributary of the Valea Mică River in Romania .,1
7879,"The mountain was named after the geologist Charles Lyell , a follower of Charles Darwin , in 1863 , by Charles Gould .","The mountain was named by Charles Gould in 1863 after geologist Charles Lyell , a supporter of Charles Darwin .",1
9094,"A quantum fluid refers to each system that shows quantum mechanical effects at the macroscopic level , such as superfluids , superconductors , ultracold atoms , etc .","A quantum fluid refers to any system that exhibits quantum mechanical effects at the macroscopic level such as superfluids , superconductors , ultracold atoms , etc .",1
48504,"It was originally published by Cyan Worlds , a division of Brøderbund , and developed by Red Orb Entertainment .","Developed by Red Orb Entertainment , it was initially published by Cyan Worlds , a division of Brøderbund .",1
47394,"On 2 February 2009 , the Brazilian striker terminated his contract with Sochaux in agreement with the French team .",On 2 February 2009 the Brazilian striker has terminated his contract with Sochaux in agreement with the French team .,1
11638,"Later , engineers who followed Interstate 85 constructed again much of this route from Petersburg , Virginia , to the state border in Georgia .","Later , engineers who followed Interstate 85 designed much of this route again from Petersburg , Virginia , to roughly the Georgia state border .",1
23999,Pseudostellaria jamesiana is a species of pink flowering plant in the tuber family known by the common names sticky starwort and pink starwort .,"Pseudostellaria jamesiana is a kind of pink flowering plant in the tuber family , known by the general names sticky starwort and pink starwort .",1
30721,"Saghar has written over 2,000 songs for many singers and music directors for Pakistani films , radio and TV .","For many singers and music directors , Saghar has written more than 2,000 songs for Pakistani films , radio and TV .",1
44736,"The Nyon Campus offers kindergarten and secondary education services , while Pully Campus offers a kindergarten , primary and primary school .","The Nyon campus offers Kindergarten and secondary school education services , while the Pully campus offers a Kindergarten , primary and a primary education .",1
35640,"It is on the southern end of the Great Dividing Range , at the west of the Monaro Range , and lies west of the Wadbilliga National Park .","It is located at the southern end of the Great Dividing Range , to the west of the Monaro Range , and is west of the Wadbilliga National Park .",1
41586,"It is the largest private club in Houston and one of the biggest in the world , with over 3,300 members .","It is the largest private club in Houston and one of the biggest in the world , with more than 3,300 members .",1
43597,"The special Born Warriors Trilogy was released on DVD and Blu-ray in 2016 , and a full 4 Disc Deluxe Edition was released in 2017 .",The special Born Warriors Trilogy was released on DVD and Blu-ray in 2016 . A full 4 Disc Deluxe Edition was released in 2017 .,1
28242,With his wife Dr. Anu Ratheesh Vega and his son Nadhin Ratheesh Vega he lives in Thrissur .,Ratheesh lives in Thrissur with his wife Dr. Anu Ratheesh Vega and son Nadhin Ratheesh Vega .,1
46629,"Dissident or Protestant separatists were English Christians who separated from the English Church in the 16th , 17th and 18th centuries .","English Dissenters or Protestant Separatists were English Christians who separated from the Church of England in the 16th , 17th and 18th centuries .",1
33134,"East of Niagara County village , NY 104 follows Ridge Road through a sparsely populated area of Lewiston .","East of the village of Niagara County , NY 104 of Ridge Road follows through a sparsely populated area of Lewiston .",1
807,Lebilaango is a city in the central Somalia region of Hiran .,Lebilaango is a town in the central Somalia region of Hiran .,1
45497,"Elizabeth Gordon was the daughter of William Keith , Lord of Gordon and Elizabeth Keith , daughter of Adam de Gordon , Marischal of Scotland .","Elizabeth Gordon was the daughter of William Keith , Lord of Gordon , and Elizabeth Keith , the daughter of Adam de Gordon , Marischal of Scotland .",1
5331,The constant power density is determined by the product resulting from the continuous torque density and the continuous torque - speed range of the electric machine .,The constant power density is determined by the product of the continuous torque density and the continuous torque speed range of the electric machine .,1
32203,"William Pendry Bidelman ( ; September 25 , 1918 -- May 3 , 2011 ) whose friends called him `` Billy '' , was an American astronomer .","William Pendry Bidelman ( September 25 , 1918 - May 3 , 2011 ) , whose friends called him “ Billy , ” was an American astronomer .",1
20339,"Ovid Township is located in the eastern Clinton County , bordered to the east by Shiawassee County .","Ovid Township is located in eastern Clinton County , bordered by Shiawassee County to the east .",1
13998,"The journal received its present name in 1989 , and the following year the Jewish Bible Association became the World Jewish Bible Society .","The magazine received its present name in 1989 , and the following year the Jewish Bible Association became the World Jewish Bible Society .",1
41347,"He won third place at the Parapan American Games in Guadalajara , Mexico in 2011 and another third place at the International Tournament of Champions in Charlotte , USA .","In 2011 , he won third place at the Parapan American Games in Guadalajara , Mexico and another third place at the Champions International Tournament in Charlotte , USA .",1
25835,"Similar to a CFG , a probabilistic context-free grammar can be defined by a Quintupel :","Similar to a CFG , a probabilistic context-free grammar can be defined by a quintuple :",1
5645,"He began his studies in 1946 at the Main Reformed Gimnázium in Debrecen , and from 1947 to 1951 , he attended the Madách Gimnázium in Budapest .",He began his studies in 1946 at the Reformed Gimnázium in Debrecen and from 1947 to 1951 he visited Madách Gimnázium in Budapest .,1
32598,"Eric becomes the cook for her father 's restaurant , which improves the business , so Scott 's father Malia is thankful .","Eric becomes the chef for her father 's restaurant , which improves the business , so Scott 's father is thankful to Malia .",1
21917,"Although this de facto standard is sometimes known as ReplayGain , it was originally known as a replay gain and is now formally abbreviated as RG .","Although this de facto standard is sometimes known as ReplayGain , it was originally known as Replay Gain and is now formally abbreviated RG .",1
37363,Tony and Mary Murphy work with Len Goodman in an Infomercial for the Core Rhythms Workout system .,Tony and Mary Murphy appear along with Len Goodman in an infomercial for the Core Rhythms workout system .,1
18268,If `` R '' is the associated equivalence relation over each trivial component of `` U `` .,If `` R '' is the connected equivalence relation over each trivial component of `` U '' .,1
38297,"A desperate Helen went to Karim Lala , who asked her to meet Dilip Kumar .","A desperate Helen went to Karim Lala , who told her to meet Dilip Kumar .",1
16777,"Itami-go was a part of the castle of Arioka , which ruled Araki Murashige under Oda Nobunaga .",Itami-go was a part of Castle Arioka which Araki Murashige ruled under Oda Nobunaga .,1
44315,"She was born January 30 , 1912 , the Jewish daughter of the banker Maurice Wertheim and his first wife Alma Morgenthau .","She was born on January 30 , 1912 as the Jewish daughter of banker Maurice Wertheim and his first wife , Alma Morgenthau .",1
29629,"Once again , Sundance is killed by a job when the poet comes there first , and three of Sundance 's men are foiled .","Sundance is once again killed on a job by the Poet getting there first , and three of Sundance 's men are foiled .",1
12071,The 1986 -- 87 National Hockey League season was the 70th season of the Toronto operation in Toronto Maple Leafs .,The 1986 -- 87 National Hockey League season was the 70th season of operation of Toronto in the Toronto Maple Leafs .,1
5981,"Among her regular guests were Canning and Castlereagh , Byron , Sir Walter Scott , Lord John Russell , Sir Robert Peel , Theodore Hook and Sydney Smith .","Regular guests included Canning and Castlereagh , Byron , Sir Walter Scott , Lord John Russell , Sir Robert Peel , Theodore Hook , and Sydney Smith , among others .",1
49060,"Texarkana is a part of the Miller County , TX-AR , Metropolitan Statistical Area .","Texarkana is part of the Miller County , TX-AR , Metropolitan Statistical Area .",1
36743,This name refers to either the Gawler River ( which starts at the confluence of the South Para River and the North Para River ) or the Little Para River .,This name refers to either the Gawler River ( which starts at the confluence of the South Para River and North Para River ) or the Little Para River .,1
16563,Emperor Xuanzong himself passed the imperial examinations late in Tianbao 's `` Chang Gun '' era ( 742-756 ) .,Emperor Xuanzong himself was the imperial examinations late in Tianbao 's '' Chang Gun `` era ( 742-756 ) .,1
34157,"In July of 1659 , Sir George Booth was a supporter of Sir Richard in the abortive pro - Royalist Cheshire and Lancashire Rising .","In July 1659 , Sir George Booth was a supporter of Sir Richard in the abortive pro-Royalist Cheshire and Lancashire Rising .",1
12500,"Björn Freiberg ( born 28 March 1970 in Isny im Allgäu ) is a former actor , painter , author , translator and German University teacher .","Björn Freiberg ( born March 28 , 1970 in Isny im Allgäu ) is a former actor , painter , author , translator and German university teacher .",1
47287,The 2015 -- 16 Barangay Ginebra San Miguel season is the 37th season of the franchise in the Philippine Basketball Association ( PBA ) .,The 2015 season -- 16 Barangay Ginebra San Miguel is the 37th season of the franchise at the Philippine Basketball Association ( PBA ) .,1
768,"The manuscript was examined by Montfaucon , Wettstein , and Cramer . It was described and examined by Paulin Martin . C. R. Gregory saw the manuscript in 1885 .","The manuscript was examined by Montfaucon , Wettstein and Cramer , examined and described by Paulin Martin , and C. R. Gregory saw the manuscript in 1885 .",1
35270,"The son of Ratcliffe married the scientist W. Grey Walter , and one of his two daughters was the neurophysiologist Nicholas Walter , whose grandson Francis Ratcliffe was .","Ratcliffe 's son married the scientist W. Grey Walter , and one of his two daughters was the neurophysiologist Nicholas Walter . Francis Ratcliffe was his grandson .",1
26633,The Vânăta river is a tributary of the River Milotina in Romania .,The Vânăta River is a tributary of the Milotina River in Romania .,1
10688,"For this match against the Dragons , whose colours are also black , Wigan mostly wore red and white jerseys .","For this match against the Dragons , whose colours are also black , Wigan wore mostly red and white jerseys .",1
14365,"Agriphila straminella is a species of moth of the family Crambidae . It was found by Michael Denis and Ignaz Schiffermüller in 1775 , and is described in Europe .","Agriphila straminella is a kind of moth of the Crambidae family , which was found in 1775 by Michael Denis and Ignaz Schiffermüller and described in Europe .",1
697,He won the second Prix de Rome for painting in 1813 and in 1814 the first Prix de Rome for his painting of the `` death of the Diagora '' .,He won the second Prix de Rome for painting in 1813 and the first Prix de Rome in 1814 for his painting of the `` Death of Diagoras '' .,1
27304,She graduated in 1983 from the Glen High School in Grahamstown and studied at the Rhodes University in Pretoria .,She graduated from The Glen High School in Grahamstown in 1983 and studied at Rhodes University in Pretoria .,1
28134,Giovanola also marketed the first freefall ( developed by Intamin ) and the first drop tower .,Giovanola also marketed the first Freefall ( developed by Intamin ) experience and the first drop tower .,1
31793,"Pandabeswar CD Block had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students","The CD - Block Pandabeswar had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students",1
5250,"Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on September 11 , 1866 and got 8 children .","Lorenzo Giuntini married Susannah Louisa Barnett in Frome , Somerset on 11 September 1866 and got 8 children .",1
36939,"But the goals are not easy -- grandmother , wife of an oligarch , virgin , feminist and sectarian .","But the goals are not easy - grandmother , wife of an oligarch , sectarian , feminist and virgin .",1
35090,"It was organized from militia companies from Montpelier , Burlington , Castleton , Fletcher , Ludlow , Brattleboro , Tunbridge , Vergennes and Waterbury .","It was organized by militia companies from Brattleboro , Burlington , Castleton , Fletcher , Ludlow , Montpelier , Tunbridge , Vergennes and Waterbury .",1
18677,"He studied at Ravenshaw College in Cuttack and Allahabad University and holds a degree in law from the M. S. Law College of Utkal University , Odisha .","He studied at the Ravenshaw College in Cuttack and Allahabad University and earned his law degree from M. S. Law College , Utkal University in Odisha .",1
38115,"He lived near Croydon , at Addiscombe , until his death on 11 July 1851 , at the age of seventy .","He lived near Croydon in Addiscombe until his death on July 11 , 1851 at the age of seventy years .",1
22047,"A multi-region DVD of the entire series was announced on February 4 , 2015 by Warner Archive and was released on February 10 , 2015 .","A multi region - DVD of the entire series was announced by Warner Archive on 4 February 2015 and released on February 10 , 2015 .",1
17936,"It was designed by Little Rock architect Harold A. Berry and Dallas , Texas Architect F. Eugene Withrow in international style .","It was designed by Little Rock architect Harold A. Berry and Dallas , Texas architect F. Eugene Withrow in the International style .",1
35040,Jools Holland performed the song on `` Friday Night with Adele '' on 8 February 2008 and on `` Saturday Night Live '' during the 18 October 2008 show .,"The song was performed on February 8 , 2008 on `` Friday Night with Adele '' and during the show on `` Saturday Night Live '' on October 18 , 2008 .",1
18752,"( EL successor Conrail sold the old New York main line through Utica , Chenango and Susquehanna Valley to the Cassville , Susquehanna and Western Railway in 1982 . )","( EL - Successor Conrail sold the old New York main route through Utica , Chenango , and Susquehanna Valley in 1982 to Cassville , Susquehanna , and Western Railway . )",1
14139,"Kirk Deighton is served by route 780 , Harrogate to Wetherby , and route X70 , Kirk Deighton to Knaresborough via Wetherby and Spofforth .","Kirk Deighton is operated by Route 780 , Harrogate to Wetherby , and Route X70 , Kirk Deighton to Knaresborough via Wetherby and Spofforth .",1
48610,Sam Sam Raimi and Rob Tapert produced together with Campbell the remake of `` The Evil Dead '' .,"Sam Raimi and Rob Tapert produced the remake of `` The Evil Dead '' , along with Campbell .",1
27128,"The team played teams in recent years such as Iowa , Rutgers , Hawaii , Mississippi - State , Nebraska , Connecticut , Syracuse and Pittsburgh in 2011 .","The team has played teams in recent years such as Iowa , Rutgers , Hawaii , Mississippi State , Nebraska , Connecticut , Syracuse , and Pittsburgh in 2011 .",1
5476,"For the officers of the old army , Dillon assumed noble duties at a very difficult time .",Dillon assumed noble duties at a very difficult time for military officers of the old army .,1
48490,Wulffius came to Germany with her son where she lived until she fled to Australia in 1953 .,"Wulffius came with her son to Germany , where she lived in Australia until she fled in 1953 .",1
33250,Jacob Bellaert ( born in Zierikzee ) was an early Dutch publisher who produced 17 books in Haarlem from 1483 to 1486 .,Jacob Bellaert ( born in Zierikzee ) was an early Dutch publisher who produced seventeen books in Haarlem from 1483 to 1486 .,1
44540,"Bhils has the highest population in the Jhabua district , followed by Dhar , Barwani , and Khargone districts .","Bhils have the highest population in Jhabua district followed by Dhar , Barwani and Khargone districts .",1
3069,He graduated in 1976 from Kansas Newman College and in 1979 from the Washburn Law School .,He graduated from Kansas Newman College in 1976 and from Washburn Law School in 1979 .,1
892,Another series was played between the Boston Red Sox and the Cincinnati Reds in Havana .,"In Havana , another series between Cincinnati Reds and Boston Red Sox was played .",1
